price,meters,rooms,Fix_zone,Fix_place_type,Fix_operation,currency,subzone1,subzone2,subzone3,Date,Urls
75000,41,3,Bsas Gba Norte,ph,alquiler,$,General San Martin,General San Martín,Aristóbulo Del Valle  6222,2023/01/07,https://inmueble.mercadolibre.com.ar/MLA-1297530996-alquiler-ph-3-amb-con-patio-_JM
50000,40,2,Bsas Gba Norte,ph,alquiler,$,General San Martin,General San Martín, Villa Libertad,2023/01/07,https://inmueble.mercadolibre.com.ar/MLA-1300038185-alquiler-ph-de-2-ambientes-con-terraza-san-martin-_JM
97900,84,3,Bsas Gba Norte,ph,alquiler,$,General San Martin,General San Martín, Villa José León Suárez,2023/01/07,https://inmueble.mercadolibre.com.ar/MLA-1298758046-ph-3-ambientes-patio-parrilla-y-lavadero-sin-expensas-_JM
68000,50,3,Bsas Gba Norte,ph,alquiler,$,General San Martin,General San Martín, Villa Libertad,2023/01/07,https://inmueble.mercadolibre.com.ar/MLA-1300921336-ph-en-alquiler-en-villa-libertad-_JM
48000,52,3,Bsas Gba Norte,ph,alquiler,$,General San Martin,General San Martín, Villa José León Suárez,2023/01/07,https://inmueble.mercadolibre.com.ar/MLA-1301700186-ph-jose-leon-suarez-_JM
83000,45,2,Bsas Gba Norte,ph,alquiler,$,Vicente Lopez,Vicente López, Carapachay,2023/01/07,https://inmueble.mercadolibre.com.ar/MLA-1300591272-ph-carapachay-_JM
75000,45,2,Bsas Gba Norte,ph,alquiler,$,Vicente Lopez,Vicente López, Carapachay,2023/01/07,https://inmueble.mercadolibre.com.ar/MLA-1301680421-ph-carapachay-_JM
60000,60,4,Bsas Gba Norte,ph,alquiler,$,Jose C Paz,José C Paz, Argentina,2023/01/07,https://inmueble.mercadolibre.com.ar/MLA-1298853261-casa-2-dormitorios-en-jose-c-paz-_JM
120000,100,3,Bsas Gba Norte,ph,alquiler,$,Vicente Lopez,Vicente López, Olivos,2023/01/07,https://inmueble.mercadolibre.com.ar/MLA-1299667001-casa-en-planta-baja-al-frente-3-amb-con-12m-de-fondo-_JM
50000,35,3,Bsas Gba Norte,ph,alquiler,$,Vicente Lopez,Vicente López, Olivos,2023/01/07,https://inmueble.mercadolibre.com.ar/MLA-1271758048-oficinaestudioconsultorio-de-3-ambientes-en-alquiler-en-olivos-_JM
75000,55,3,Bsas Gba Norte,ph,alquiler,$,Tigre,Tigre, Don Torcuato Oeste,2023/01/07,https://inmueble.mercadolibre.com.ar/MLA-1281944018-venta-ph-don-torcuato-_JM
110000,74,3,Bsas Gba Norte,ph,alquiler,$,San Isidro,San Isidro, Villa Adelina,2023/01/07,https://inmueble.mercadolibre.com.ar/MLA-1281976508-depto-tipo-casa-3-ambientes-alquiler-_JM
157000,95,3,Bsas Gba Norte,ph,alquiler,$,Vicente Lopez,Vicente López, Olivos,2023/01/07,https://inmueble.mercadolibre.com.ar/MLA-1288000860-ph-olivos-roche-_JM
120000,78,3,Bsas Gba Norte,ph,alquiler,$,Vicente Lopez,Vicente López, Olivos,2023/01/07,https://inmueble.mercadolibre.com.ar/MLA-1290966842-ph-3-amb-super-amplio-cterraza-gigante-_JM
90000,70,3,Bsas Gba Norte,ph,alquiler,$,San Isidro,San Isidro, Villa Adelina,2023/01/07,https://inmueble.mercadolibre.com.ar/MLA-1293941884-ph-villa-adelina-_JM
65000,75,3,Bsas Gba Norte,ph,alquiler,$,General San Martin,General San Martín, Villa José León Suárez,2023/01/07,https://inmueble.mercadolibre.com.ar/MLA-1292142534-ph-en-alquiler-en-jose-leon-suarez-_JM
70000,40,3,Bsas Gba Norte,ph,alquiler,$,San Isidro,San Isidro, Boulogne Sur Mer,2023/01/07,https://inmueble.mercadolibre.com.ar/MLA-1294198656-ph-villa-adelina-_JM
